algorithm,attempts,avg_cpu_percent,avg_memory_mb,ciphertext_bytes,cpu_system_micros,cpu_user_micros,decapsulate_time_ms,decrypt_time_ms,disk_io_bytes,encapsulate_time_ms,encrypt_time_ms,error,keygen_time_ms,latency_micros,max_rss_bytes,net_rx_bytes,net_tx_bytes,operation,parameter_set,public_key_bytes,secret_key_bytes,sign_time_ms,signature_bytes,storage_overhead_pct,throughput_ops_per_sec,timestamp_seconds_utc,verify_time_ms
RSA-2048,1,,1.96484375,,0,947,,,0,,,,0.0,0,2060288,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,1.96484375,,0,960,,,0,,,,0.0,0,2060288,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,1.96484375,,12,960,,,0,0.0,,,,0,2060288,38878234753,24741128822,Encapsulate,,294,1192,,256,,0.0,1762751331,
ECDHE-P256,1,,1.96484375,,25,960,,,0,,,,0.0,0,2060288,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,1.96484375,,35,960,,,0,,,,0.0,0,2060288,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,1.96484375,,44,960,,,0,0.0,,,,0,2060288,38878234753,24741128822,Encapsulate,,65,32,,0,,0.0,1762751331,
Dilithium2,1,,1.96484375,,56,960,,,0,,,,0.002,2,2060288,38878234753,24741128822,Keygen,,1312,2528,,2420,,500000.0,1762751331,
Dilithium2,1,,1.96484375,,65,960,,,0,,,,,0,2060288,38878234753,24741128822,Sign,,1312,2528,0.0,2420,,0.0,1762751331,
Dilithium2,1,,1.96484375,,75,960,,,0,,,,,0,2060288,38878234753,24741128822,Verify,,1312,2528,,2420,,0.0,1762751331,0.0
Dilithium3,1,,1.96484375,,87,960,,,0,,,,0.002,2,2060288,38878234753,24741128822,Keygen,,1952,4000,,3293,,500000.0,1762751331,
Dilithium3,1,,1.96484375,,97,960,,,0,,,,,0,2060288,38878234753,24741128822,Sign,,1952,4000,0.0,3293,,0.0,1762751331,
